Team,Gms,Plays,Rush,Rush%,Pass,Pass%,Division,Wins,Losses,Ties,Win Percentage
Los Angeles Chargers,11,799,341,42.7,458,57.3,AFC West,3,8,0,0.273
Dallas Cowboys,11,782,294,37.6,488,62.4,NFC East,3,8,0,0.273
Tampa Bay Buccaneers,12,768,277,36.1,491,63.9,NFC South,7,5,0,0.583
Atlanta Falcons,11,762,306,40.2,456,59.8,NFC South,4,7,0,0.364
Cincinnati Bengals,11,753,271,36,482,64,AFC North,2,8,1,0.227
Los Angeles Rams,11,746,328,44,418,56,NFC West,7,4,0,0.636
Arizona Cardinals,11,745,340,45.6,405,54.4,NFC West,6,5,0,0.545
Carolina Panthers,12,736,304,41.3,432,58.7,NFC South,4,8,0,0.333
Pittsburgh Steelers,11,730,285,39,445,61,AFC North,11,0,0,1
Philadelphia Eagles,11,726,255,35.1,471,64.9,NFC East,3,7,1,0.318
Kansas City Chiefs,11,725,278,38.3,447,61.7,AFC West,10,1,0,0.909
Indianapolis Colts,11,722,311,43.1,411,56.9,AFC South,7,4,0,0.636
New Orleans Saints,11,718,346,48.2,372,51.8,NFC South,9,2,0,0.818
San Francisco 49ers,11,710,299,42.1,411,57.9,NFC West,5,6,0,0.455
Chicago Bears,11,709,233,32.9,476,67.1,NFC North,5,6,0,0.455
Tennessee Titans,11,709,357,50.4,352,49.6,AFC South,8,3,0,0.727
Washington Football Team,11,709,285,40.2,424,59.8,NFC East,4,7,0,0.364
Seattle Seahawks,11,704,276,39.2,428,60.8,NFC West,8,3,0,0.727
Detroit Lions,11,697,266,38.2,431,61.8,NFC North,4,7,0,0.364
Green Bay Packers,11,697,304,43.6,393,56.4,NFC North,8,3,0,0.727
Denver Broncos,11,696,291,41.8,405,58.2,AFC West,4,7,0,0.364
Buffalo Bills,11,695,277,39.9,418,60.1,AFC East,8,3,0,0.727
Las Vegas Raiders,11,694,322,46.4,372,53.6,AFC West,6,5,0,0.545
New York Giants,11,694,290,41.8,404,58.2,NFC East,4,7,0,0.364
New England Patriots,11,692,355,51.3,337,48.7,AFC East,5,6,0,0.455
Jacksonville Jaguars,11,684,242,35.4,442,64.6,AFC South,5,6,0,0.091
Baltimore Ravens,11,679,355,52.3,324,47.7,AFC North,1,10,0,0.6
Cleveland Browns,11,676,352,52.1,324,47.9,AFC North,8,3,0,0.727
Miami Dolphins,11,664,289,43.5,375,56.5,AFC East,7,4,0,0.636
Minnesota Vikings,11,663,322,48.6,341,51.4,NFC North,5,6,0,0.455
New York Jets,11,641,259,40.4,382,59.6,AFC East,0,11,0,0
Houston Texans,11,635,243,38.3,392,61.7,AFC South,4,7,0,0.727
