Team,Opponent Passing Yds/G,Yds/G,Pass%,Week 13 Opponent,14 Opponent,15 Opponent,16 Opponent 
Arizona Cardinals,227.2,247.8,54.4,Los Angeles Rams,New York Giants,Philadelphia Eagles,San Francisco 49ers
Atlanta Falcons,291.5,271.4,59.8,New Orleans Saints,Los Angeles Chargers,Tampa Bay Buccaneers,Kansas City Chiefs
Baltimore Ravens,221.5,174.9,47.7,Dallas Cowboys,Cleveland Browns,Jacksonville Jaguars,New York Giants
Buffalo Bills,243.5,268.1,60.1,San Francisco 49ers,Pittsburgh Steelers,Denver Broncos,New England Patriots
Carolina Panthers,249.2,248.4,58.7,Bye,Denver Broncos,Green Bay Packers,Washington Football Team
Chicago Bears,223.7,223.3,67.1,Detroit Lions,Houston Texans,Minnesota Vikings,Jacksonville Jaguars
Cincinnati Bengals,253.7,235.2,64,Miami Dolphins,Dallas Cowboys,Pittsburgh Steelers,Houston Texans
Cleveland Browns,246.7,194.4,47.9,Tennessee Titans,Baltimore Ravens,New York Giants,New York Jets
Dallas Cowboys,225.6,268,62.4,Baltimore Ravens,Cincinnati Bengals,San Francisco 49ers,Philadelphia Eagles
Denver Broncos,210.1,211.7,58.2,Kansas City Chiefs,Carolina Panthers,Buffalo Bills,Los Angeles Chargers
Detroit Lions,262.8,250.4,61.8,Chicago Bears,Green Bay Packers,Tennessee Titans,Tampa Bay Buccaneers
Green Bay Packers,230.5,271,56.4,Philadelphia Eagles,Detroit Lions,Carolina Panthers,Tennessee Titans
Houston Texans,254.8,277.3,61.7,Indianapolis Colts,Chicago Bears,Indianapolis Colts,Cincinnati Bengals
Indianapolis Colts,209.9,265.6,56.9,Houston Texans,Las Vegas Raiders,Houston Texans,Pittsburgh Steelers
Jacksonville Jaguars,279.5,230.2,64.6,Minnesota Vikings,Tennessee Titans,Baltimore Ravens,Chicago Bears
Kansas City Chiefs,232.5,314.5,61.7,Denver Broncos,Miami Dolphins,New Orleans Saints,Atlanta Falcons
Las Vegas Raiders,265,232.3,53.6,New York Jets,Indianapolis Colts,Los Angeles Chargers,Miami Dolphins
Los Angeles Chargers,222.5,280.6,57.3,New England Patriots,Atlanta Falcons,Las Vegas Raiders,Denver Broncos
Los Angeles Rams,203.5,264.5,56,Arizona Cardinals,New England Patriots,New York Jets,Seattle Seahawks
Miami Dolphins,239.7,216.6,56.5,Cincinnati Bengals,Kansas City Chiefs,New England Patriots,Las Vegas Raiders
Minnesota Vikings,261.3,241.4,51.4,Jacksonville Jaguars,Tampa Bay Buccaneers,Chicago Bears,New Orleans Saints
New England Patriots,229.2,197.4,48.7,Los Angeles Chargers,Los Angeles Rams,Miami Dolphins,Buffalo Bills
New Orleans Saints,208.3,231.3,51.8,Atlanta Falcons,Philadelphia Eagles,Kansas City Chiefs,Minnesota Vikings
New York Giants,244.7,200.5,58.2,Seattle Seahawks,Arizona Cardinals,Cleveland Browns,Baltimore Ravens
New York Jets,284,170.3,59.6,Las Vegas Raiders,Seattle Seahawks,Los Angeles Rams,Cleveland Browns
Philadelphia Eagles,210.7,206.4,64.9,Green Bay Packers,New Orleans Saints,Arizona Cardinals,Dallas Cowboys
Pittsburgh Steelers,193.2,247.5,61,Washington Football Team,Buffalo Bills,Cincinnati Bengals,Indianapolis Colts
San Francisco 49ers,206.5,250.9,57.9,Buffalo Bills,Washington Football Team,Dallas Cowboys,Arizona Cardinals
Seattle Seahawks,328.8,273.8,60.8,New York Giants,New York Jets,Washington Football Team,Los Angeles Rams
Tampa Bay Buccaneers,255.8,266.4,63.9,Bye,Minnesota Vikings,Atlanta Falcons,Detroit Lions
Tennessee Titans,268.5,227.5,49.6,Cleveland Browns,Jacksonville Jaguars,Detroit Lions,Green Bay Packers
Washington Football Team,194.6,218.6,59.8,Pittsburgh Steelers,San Francisco 49ers,Seattle Seahawks,Carolina Panthers
